item_counts,distribution,avg_time
100,Dist a,0.0027278986844149504
100,Dist b,0.0023642670024525037
100,Dist c,0.0015457760203968394
100,Dist d,0.002909725362604315
100,Dist e,0.0024551261555064807
100,Dist f,0.002000461925159801
100,Dist g,0.0028189745816317472
100,Dist h,0.0033643462441184306
100,Dist i,0.0021822669289328837
1000,Dist a,0.02682540633461692
1000,Dist b,0.022004929455843838
1000,Dist c,0.013366677544333717
1000,Dist d,0.02665933695706454
1000,Dist e,0.020050894130359997
1000,Dist f,0.01818958195773038
1000,Dist g,0.02791573784568093
1000,Dist h,0.032825600017200814
1000,Dist i,0.022186907854947178
10000,Dist a,0.3212112079967152
10000,Dist b,0.2858827330849387
10000,Dist c,0.1778581142425537
10000,Dist d,0.31562978571111505
10000,Dist e,0.2601000395688144
10000,Dist f,0.2437823252244429
10000,Dist g,0.34225901690396393
10000,Dist h,0.38599614663557574
10000,Dist i,0.28633776578036224
100000,Dist a,9.90752380544489
100000,Dist b,9.555042678659612
100000,Dist c,6.3251872496171435
100000,Dist d,9.886223576285623
100000,Dist e,9.386274532838302
100000,Dist f,9.232930551875722
100000,Dist g,10.158625255931508
100000,Dist h,10.515701814131303
100000,Dist i,9.494637987830423
500000,Dist a,191.4013040932742
500000,Dist b,189.6922241557728
500000,Dist c,128.66370836171237
500000,Dist d,191.617549831217
500000,Dist e,188.40412523529747
500000,Dist f,187.73309484395114
500000,Dist g,192.18747689507225
500000,Dist h,193.93672015450218
500000,Dist i,189.68634113398466
